,age,job,marital,education,default,housing,loan,contact,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,subscribed
0,56,3,1,0,0,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
1,57,7,1,3,1,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
2,37,7,1,3,0,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
3,40,0,1,1,0,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
4,56,7,1,3,0,0,2,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
5,45,7,1,2,1,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
6,59,0,1,5,0,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
7,41,1,1,7,1,0,0,1,1.0,999.0,0.0,1.1,93.994,-96.4,4.857,5191.0,0
8,24,9,2,5,0,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
9,25,7,2,3,0,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
10,41,1,1,7,1,0,0,1,1.0,999.0,0.0,7.9,93.994,-36.4,4.857,5191.0,0
12,29,1,2,3,0,0,2,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
13,57,3,0,0,0,2,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
14,35,1,1,1,0,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
15,54,5,1,2,1,2,2,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
16,35,1,1,1,0,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
17,46,1,1,1,1,2,2,1,2.0,999.0,0.0,1.1,93.994,-36.4,51.4,5191.0,0
18,50,1,1,2,0,2,2,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
19,39,4,2,2,1,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
20,30,10,1,3,0,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
21,55,1,1,0,1,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
22,55,5,2,3,0,2,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
23,41,9,2,3,0,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
24,37,0,1,3,0,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
25,35,9,1,6,0,0,2,1,1.0,999.0,0.0,23.4,93.994,-36.4,4.857,5191.0,0
26,59,9,1,7,0,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
27,39,6,1,2,1,0,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
28,54,9,2,6,1,0,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
29,55,11,1,6,1,1,1,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
30,46,0,1,7,0,0,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
32,49,1,1,7,0,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
33,54,4,1,0,1,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
34,54,1,0,0,0,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
35,55,11,1,0,1,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
36,34,7,1,3,0,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
37,52,9,1,2,0,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
38,41,0,1,6,0,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
39,56,9,1,0,0,2,0,1,2.0,999.0,0.0,33.2,93.994,-36.4,4.857,5191.0,0
40,58,4,3,6,0,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
41,32,2,1,3,0,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
42,38,0,2,5,0,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
43,57,0,1,6,0,0,2,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
44,44,0,1,6,1,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
45,42,9,2,5,1,0,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
46,57,0,1,6,0,2,2,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
47,40,1,1,2,0,0,2,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
48,35,0,1,6,0,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
49,45,1,1,2,0,2,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
50,54,0,1,3,0,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
51,39,3,1,0,0,0,2,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
52,60,0,1,3,0,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
53,53,0,2,5,0,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
54,55,1,1,0,1,0,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
55,55,9,1,5,1,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
56,50,4,1,6,1,0,2,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
57,45,7,1,3,1,2,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
58,55,10,1,5,1,2,2,1,1.0,999.0,0.0,402.0,93.994,-36.4,4.857,5191.0,0
59,25,9,2,6,0,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
60,47,2,1,6,1,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
61,51,1,1,2,0,2,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
62,42,1,1,1,1,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
63,42,1,1,1,1,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
64,48,0,1,3,0,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
65,37,0,1,6,0,0,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
66,44,1,2,2,0,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
67,33,0,1,7,0,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
68,56,0,1,2,0,2,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
69,44,1,2,0,1,2,2,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
70,41,4,1,1,0,0,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
71,44,4,0,6,0,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
72,47,0,1,6,1,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
73,57,11,1,7,1,0,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
74,37,0,1,6,1,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,75.7,5191.0,0
75,41,1,0,0,1,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,1
76,55,9,1,6,0,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
77,33,7,1,3,1,2,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
78,55,4,1,7,1,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
79,42,1,1,2,1,0,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
80,50,1,1,0,1,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
81,51,1,1,0,1,1,1,1,1.0,999.0,0.0,50.3,93.994,-36.4,4.857,5191.0,0
82,38,0,1,3,1,0,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
83,49,2,1,6,1,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,1
84,38,9,2,6,0,0,2,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
85,31,0,0,3,0,0,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
86,41,4,1,1,0,0,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
87,39,0,1,6,0,2,2,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
88,49,9,1,2,0,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,1
89,34,0,1,3,0,2,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
90,35,0,1,6,0,2,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
91,57,11,1,7,1,2,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
92,60,0,1,7,1,0,2,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
93,33,10,1,2,0,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
94,42,1,1,1,0,0,2,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
95,45,7,1,5,0,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
96,42,4,1,6,0,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
97,53,0,0,6,1,0,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
98,37,9,2,5,0,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
99,44,1,1,1,0,0,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
100,54,7,1,7,0,2,0,1,1.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
101,49,1,1,0,0,0,0,1,3.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
102,54,7,1,7,0,0,0,1,2.0,999.0,0.0,1.1,93.994,-36.4,4.857,5191.0,0
